,artist,track,album,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,stream,ln_stream
1803,The Ronettes,8,2,0.48425,0.7576250000000001,4.75,-7.965,0.0402125,0.31962500000000005,0.00042753124999999996,0.195425,0.62325,124.416375,2.8311979166666665,101165118.125,18.432264572841664
1804,The Score,10,4,0.5349999999999999,0.7338,5.2,-5.1866,0.046380000000000005,0.022166,2.52e-05,0.15331999999999998,0.42110000000000003,126.20710000000001,3.1840133333333336,98978176.1,18.410409940363294
1805,The Script,9,6,0.48866666666666664,0.7067777777777778,5.777777777777778,-5.147444444444444,0.03534444444444444,0.19064000000000003,0.0,0.18684444444444445,0.46088888888888896,123.91900000000003,3.9449129629629627,372035748.8888889,19.73450050678387
1806,The Smashing Pumpkins,9,4,0.4856666666666667,0.6483333333333333,6.666666666666667,-9.248111111111111,0.03701111111111111,0.11717447888888888,0.5541666666666667,0.11792222222222223,0.47177777777777774,117.00388888888887,3.8232,163760315.8888889,18.9139144282901
1807,The Smiths,4,2,0.4855,0.735,4.0,-6.837250000000001,0.035825,0.0500475,0.0,0.24659999999999999,0.7174999999999999,122.04600000000002,3.9583916666666665,228425636.25,19.246721272223212
1808,The Strokes,10,6,0.5311999999999999,0.6752,5.4,-5.8687,0.03541,0.1583963,0.2677787,0.14650000000000002,0.53918,128.68519999999998,3.9746449999999998,214309934.5,19.182933817278784
1809,The Supremes,10,7,0.5657000000000001,0.5961000000000001,5.6,-9.7524,0.04603,0.41079499999999997,4.3346e-05,0.16807,0.691,112.276,2.7560883333333335,88858036.5,18.302550558671523
1810,The Temper Trap,6,5,0.6037142857142858,0.7182857142857142,7.571428571428571,-5.897142857142856,0.05185714285714286,0.20090818571428576,0.19624285714285716,0.13045714285714285,0.4605714285714286,127.07514285714285,3.5791000000000004,99901326.14285715,18.41969351823395
1811,The Temptations,8,7,0.5854999999999999,0.53575,3.625,-10.12025,0.0502375,0.504875,0.00150775,0.22501249999999998,0.6916249999999999,119.931625,2.9254375,140973638.875,18.76408347253022
1812,The Vamps,9,6,0.6340000000000001,0.787888888888889,5.777777777777778,-5.307888888888889,0.0493,0.08784666666666668,0.0,0.22426666666666664,0.5951111111111111,116.02677777777775,3.1752685185185188,194694203.66666666,19.08694069931205
